,0
0,ménages
1,dépense
2,gaz
3,revenus
4,fuel
5,extérieur
6,créer
7,énergie
8,loi
9,conservation
10,comportent
11,dérivé
12,synthétique
13,chaussettes
14,pétrole
15,métaux
16,smartphone
17,chocolat
18,mesurer
19,joule
20,tablette
21,chaleur
22,essence
23,kwh
24,brûles
25,litre
26,thermique
27,verte
28,existe
29,utilises
30,échelle
31,sale
32,grande
33,minimale
34,propre
35,rends
36,quantité
37,prix
38,paye
39,payer
40,humain
41,éolienne
42,brûler
43,air
44,puits
45,charbon
46,centrales
47,électrique
48,électriques
49,chauffage
50,mobilise
51,terrien
52,moyenne
53,carbone
54,dioxyde
55,principal
56,humaine
57,climat
58,réchauffement
59,climatique
60,dépassé
61,voiture
62,reine
63,mobilité
64,consomme
65,faudrait
66,faire
67,travailler
68,terre
69,machine
70,lourd
71,pèse
72,trucs
73,économies
74,mouvement
75,absorbée
76,hydroélectricité
77,renouvelables
78,principales
79,énergies
80,fossile
81,quantifier
82,calculer
83,avion
84,déplacement
85,gros
86,consommateur
87,ville
88,co2
89,terriens
90,habitent
91,moyennes
92,productivité
93,augmentation
94,organique
95,chimie
96,base
97,entoure
98,mondiale
99,marine
100,voitures
101,utilitaires
102,hôpital
103,énergivore
104,empreinte
105,pay
106,arrivent
107,producteurs
108,demandent
109,transport
110,ancienne
111,combustible
112,fossiles
113,attend
114,million
115,cachalot
116,sauvé
117,chasser
118,baleine
119,baleines
120,moteurs
121,permis
122,investissent
123,milliard
124,extraire
125,barils
126,pétrolières
127,france
128,travail
129,aujourdhui
130,production
131,servent
132,électricité
133,faite
134,chine
135,moitié
136,représente
137,agite
138,soleil
139,rayonnement
140,azote
141,méthane
142,protoxyde
143,contact
144,vient
145,inerte
146,sol
147,excès
148,humaines
149,créent
150,bout
151,réversible
152,absorbe
153,océan
154,atmosphère
155,plantes
156,nourrir
157,absorbent
158,serre
159,vapeur
160,eau
161,humains
162,croissent
163,arbres
164,contenu
165,forêts
166,déracine
167,accélère
168,température
169,augmenté
170,ère
171,sibérie
172,mois
173,températures
174,compare
175,mai
176,record
177,nord
178,chaude
179,planète
180,augmentée
181,permafrost
182,gelées
183,fondre
184,cultivable
185,hectare
186,actuellement
187,surface
188,passée
189,giec
190,réchauffer
191,stratosphère
192,récolte
193,chuté
194,pommes
195,signé
196,intensité
197,mettrons
198,diminuer
199,ici
200,divisées
201,pop
202,population
203,pib
204,éolien
205,solaire
206,infime
207,monde
208,vent
209,devait
210,nucléaire
211,fission
212,neutron
213,uranium
214,tonne
215,centrale
216,bouilloire
217,turbine
218,réacteur
219,faut
220,mine
221,tournait
222,charge
223,coeur
224,hydrogène
225,recombineur
226,identique
227,graphite
228,délai
229,personnes
230,morts
231,lutté
232,tchernobyl
233,panique
234,peur
235,radioactivité
236,stress
237,urgence
238,fukushima
239,intervient
240,lignite
241,gardé
242,olympique
243,électronucléaire
244,piscine
245,tiennent
246,déchets
247,mineurs
248,grenoble
249,tue
250,technology
251,individuelles
252,modernes
253,piscines
254,écosystèmes
255,pourra
256,alimentation
257,français
258,train
259,voyager
260,voyage
261,dépayse
262,passagers
263,transporte
264,remplissage
265,vacances
266,moyen
267,déplacements
268,allemagne
269,écologique
270,vélo
271,efficace
272,françaises
273,chaudières
274,brûle
275,bilan
276,neutre
277,bois
278,manufacturés
279,produits
280,fabrication
281,responsabilité
282,corp
283,contesté
284,influence
285,mot
286,scientifique
287,accord
288,chiffres
289,prévoir
290,atmosphériques
291,météo
292,temp
293,basse
294,glaciaire
295,globe
296,climatiques
297,froids
298,chaud
299,passé
300,connu
301,actuel
302,mondial
303,degrés
304,paléoclimat
305,sédiments
306,glaciaires
307,holocène
308,facteurs
309,influencé
310,atmosphérique
311,280ppm
312,450ppm
313,2ppm
314,lent
315,réinjecte
316,expiration
317,océans
318,acidification
319,verdissement
320,glace
321,neige
322,masse
323,glacier
324,perdu
325,19ème
326,fin
